ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
28,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;autre (précisez),Entre 5 y 7 horas,Science Fiction;humour/comédie;aventure/action,3,NA,NA,5,NA,5,NA,5,5,5,NA,5,2,5,2,1,3,4,4,1,3,6,6,6,4,1,6,6,NA,NA,5,5,5,NA,NA,Hombre,19,360.969294
29,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Science Fiction;TV réalité;drame,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,6,6,6,6,3,3,2,6,4,NA,5,NA,2,NA,NA,NA,Mujer,20,268.1284519
30,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;autre (précisez),Entre 3 y 5 horas,humour/comédie;horreur;aventure/action,1,NA,NA,NA,NA,5,5,5,NA,NA,5,NA,NA,NA,NA,5,5,6,4,1,1,6,6,6,2,5,1,3,NA,NA,NA,2,NA,NA,NA,Hombre,21,383.6697976
31,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Ciencia Ficcion;Aventura/Accion;Documental,6,NA,NA,NA,5,NA,5,NA,NA,5,5,5,5,NA,NA,5,5,5,5,3,3,3,4,5,4,4,3,5,5,NA,NA,5,NA,NA,NA,Hombre,19,138.5501946
32,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,Terror;Aventura/Accion;Drama,4,5,5,NA,2,2,NA,NA,NA,NA,NA,NA,2,5,NA,NA,5,5,6,2,4,6,6,6,6,6,6,6,NA,NA,5,NA,5,NA,NA,Hombre,18,180.2641626
33,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,TV réalité;aventure/action;romantique,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,1,1,6,6,1,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,1400.6594342
34,Netflix;Apple TV+;autre (précisez),Entre 2 y 3 horas,TV réalité;humour/comédie;aventure/action,6,NA,NA,NA,2,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,6,6,6,4,6,6,6,4,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,236.1013702
35,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Aventura/Accion;Historica;Romantica,5,NA,NA,5,NA,5,NA,5,NA,5,5,NA,NA,NA,NA,NA,4,6,6,3,3,2,2,2,3,2,5,6,5,NA,NA,5,NA,NA,NA,Mujer,19,314.5136193
36,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,humour/comédie;aventure/action;romantique,6,NA,NA,5,5,5,5,5,NA,NA,NA,NA,5,5,5,NA,4,5,5,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,Mujer,18,170.0934325
37,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Science Fiction;horreur;animé,3,5,NA,NA,1,5,NA,NA,2,2,5,1,NA,5,NA,5,5,4,5,4,3,5,4,6,4,5,6,4,NA,NA,NA,1,1,NA,5,Hombre,18,364.1749962
38,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 5 y 7 horas,humour/comédie;aventure/action;documentaire,4,5,NA,NA,1,NA,NA,1,NA,NA,5,NA,2,NA,5,2,3,4,4,2,3,6,3,5,5,4,2,3,2,NA,NA,NA,NA,1,NA,Hombre,18,87.242284
39,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,humour/comédie;stand-up;thriller,6,NA,NA,NA,NA,5,NA,NA,2,NA,5,1,1,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,NA,5,5,NA,5,NA,NA,Mujer,19,184.1592644
40,Netflix;Canal+ série et/ou film;Amazone prime vidéo,Entre 30 minutos y 1 hora,TV réalité;humour/comédie;horreur,4,5,5,5,NA,NA,NA,5,NA,5,NA,NA,5,NA,5,NA,4,4,4,4,2,4,5,5,4,4,6,5,NA,5,5,5,5,5,NA,Mujer,19,2116.2393248
41,Netflix;OCS;Canal+ série et/ou film;Apple TV+,Entre 1 y 2 horas,Aventura/Accion;Historica;Drama,5,NA,NA,NA,NA,NA,NA,5,NA,5,5,5,NA,NA,NA,NA,4,5,5,4,5,4,3,4,5,4,5,5,NA,5,NA,NA,5,NA,NA,Mujer,18,285.2598777
42,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Drama,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,6,6,6,6,6,NA,NA,NA,5,NA,NA,NA,Mujer,19,289.5117479
43,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,TV réalité;drame;jeunesse et famille,5,NA,NA,NA,NA,5,NA,NA,2,NA,5,NA,1,5,NA,NA,4,4,5,4,3,6,6,4,4,5,6,6,NA,5,NA,5,NA,NA,NA,Mujer,19,209.9723508
44,Netflix;OCS;Canal+ série et/ou film,Entre 30 minutos y 1 hora,Science Fiction;humour/comédie;aventure/action,4,NA,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,4,6,6,3,2,5,5,4,3,4,6,5,NA,NA,NA,NA,5,5,NA,Hombre,18,356.8277241
45,Netflix,Entre 2 y 3 horas,Science Fiction;TV réalité;humour/comédie,6,NA,NA,NA,2,NA,NA,NA,NA,5,NA,5,NA,NA,NA,5,4,4,5,6,6,6,4,3,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,Mujer,20,165.404942
46,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,TV réalité;humour/comédie;aventure/action,6,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,5,5,5,NA,5,5,6,5,5,6,4,5,4,6,5,5,NA,5,5,NA,5,NA,NA,Hombre,18,289.6830861
47,Netflix;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,TV réalité;humour/comédie;jeunesse et famille,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,6,6,1,1,3,6,1,6,6,6,6,NA,NA,NA,2,NA,NA,NA,Mujer,18,240.0954133
48,Netflix,Entre 2 y 3 horas,Science Fiction;TV réalité;thriller,4,NA,NA,5,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,5,4,5,6,5,4,3,5,4,4,4,2,2,NA,NA,NA,NA,NA,5,NA,Mujer,18,173.3546793
49,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Ciencia Ficcion;Thriller;Romantica,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,6,4,4,4,3,3,5,4,NA,NA,NA,NA,NA,NA,NA,Mujer,17,266.5705892
