ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
153,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 30 minutos y 1 hora,Terror;Aventura/Accion;Thriller,6,NA,5,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,5,NA,4,4,5,4,4,2,3,3,3,4,6,6,5,5,NA,NA,5,5,NA,Mujer,18,240.5175523
154,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,humour/comédie;documentaire;romantique,6,NA,NA,NA,1,NA,5,NA,NA,NA,NA,5,NA,NA,NA,5,4,5,6,5,6,1,1,3,2,1,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,337.0951971
155,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,aventure/action;documentaire;animé,6,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,5,NA,NA,5,4,5,5,3,3,4,3,4,2,4,4,3,NA,NA,NA,5,5,NA,NA,Mujer,19,319.4643247
156,Netflix;OCS,Entre 2 y 3 horas,Terror;Aventura/Accion;Drama,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,4,6,5,4,5,4,6,6,NA,NA,NA,5,NA,NA,5,Mujer,19,279.3375615
157,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Aventura/Accion;Thriller,4,5,NA,NA,NA,NA,5,5,NA,5,NA,NA,2,NA,NA,NA,5,5,5,4,2,4,3,6,5,5,6,4,NA,NA,5,NA,5,NA,5,Mujer,18,408.6654526
158,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;drame;jeunesse et famille,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,6,6,5,6,6,4,4,5,5,NA,5,NA,5,NA,NA,NA,Mujer,18,409.1407365
159,Netflix;Canal+ série et/ou film;Apple TV+,Entre 30 minutos y 1 hora,Terror;Infantil;Romantica,1,5,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,6,6,4,5,6,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,5,Mujer,18,364.8664945
160,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 3 y 5 horas,horreur;thriller;animé,5,NA,NA,NA,5,NA,5,NA,NA,5,NA,5,1,NA,NA,NA,6,6,6,6,1,4,6,6,6,6,5,4,NA,NA,NA,NA,NA,NA,NA,Hombre,22,358.4361058
161,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,humour/comédie;aventure/action;romantique,4,NA,5,5,NA,2,NA,5,5,5,NA,2,NA,NA,NA,NA,4,5,5,3,3,5,4,3,5,3,5,5,5,NA,5,NA,5,5,NA,Hombre,22,479.4269193
162,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;romantique,6,5,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,5,5,6,6,6,3,3,1,6,3,6,NA,NA,NA,NA,NA,NA,NA,Mujer,19,1301.8109538
163,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;aventure/action,3,NA,2,NA,2,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,5,5,3,5,3,5,6,NA,NA,NA,2,NA,2,5,Hombre,19,348.9224897
164,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Biopic,6,NA,NA,NA,1,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,6,6,6,1,3,4,3,2,6,1,1,6,NA,5,NA,5,NA,5,NA,Hombre,18,217.7535893
165,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,TV réalité;animé;jeunesse et famille,4,NA,NA,1,1,NA,5,5,5,5,5,NA,NA,NA,NA,NA,3,4,5,5,5,5,3,4,3,4,3,2,5,NA,NA,NA,NA,NA,NA,Mujer,17,303.1057577
166,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Science Fiction;aventure/action;animé,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,6,6,6,6,3,2,4,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,851.1157413
167,Netflix,Entre 1 y 2 horas,Aventura/Accion;Drama;Thriller,4,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,5,5,5,NA,4,4,5,2,4,3,3,5,6,4,6,6,NA,NA,NA,NA,5,5,5,Mujer,19,390.3943846
168,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;animé,4,NA,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,NA,5,NA,5,6,1,3,4,3,6,6,2,5,6,6,NA,NA,NA,5,5,5,NA,Hombre,18,353.9235791
169,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 2 y 3 horas,Science Fiction;humour/comédie;aventure/action,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,NA,NA,NA,6,6,6,5,5,4,3,5,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,340.2676698
170,Netflix;Apple TV+;Disney+,Entre 3 y 5 horas,TV réalité;horreur;drame,6,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,4,5,6,3,4,3,6,4,4,4,5,6,NA,5,5,NA,NA,NA,NA,Mujer,17,317.3921634
171,Netflix;Canal+ série et/ou film,Entre 2 y 3 horas,Aventura/Accion;Documental;Thriller,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,5,6,6,6,4,4,6,3,6,4,6,5,NA,NA,NA,NA,NA,NA,Mujer,17,517.2119998
172,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Ciencia Ficcion;Aventura/Accion;Thriller,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,6,6,6,5,5,4,6,5,4,NA,NA,NA,5,NA,NA,NA,Mujer,18,335.4183688
173,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Aventura/Accion,2,2,2,NA,2,5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,3,3,3,3,3,3,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,Mujer,18,203.9030595
174,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Ciencia Ficcion;Drama;Thriller,4,NA,NA,NA,2,NA,NA,5,NA,5,5,NA,NA,5,NA,NA,5,4,4,4,6,2,3,2,1,6,4,6,5,5,5,2,5,NA,5,Mujer,17,405.9501305
175,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,Aventura/Accion;Historica;Biopic,1,1,1,5,1,NA,5,5,NA,NA,5,5,5,NA,5,NA,4,5,6,5,5,4,5,5,3,5,5,5,NA,5,NA,NA,NA,2,NA,Mujer,18,329.0168741
176,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Science Fiction;humour/comédie;aventure/action,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,2,4,2,3,1,1,3,6,3,NA,2,NA,NA,NA,NA,NA,Hombre,19,371.5183839
177,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,humour/comédie,2,NA,5,NA,NA,5,NA,NA,5,NA,5,5,NA,5,2,NA,4,4,5,2,3,5,3,5,2,4,2,2,NA,2,NA,NA,NA,5,5,Hombre,19,547.4473
178,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,TV réalité;humour/comédie;romantique,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,6,6,6,6,5,5,2,6,3,5,3,4,NA,NA,NA,5,NA,NA,NA,Mujer,19,369.6251454
179,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,humour/comédie;drame;romantique,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,5,5,5,4,3,4,2,3,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,Mujer,18,356.9408187
180,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,TV réalité;aventure/action;drame,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,6,6,6,3,6,6,5,2,4,6,5,NA,NA,NA,NA,NA,NA,NA,Mujer,19,244.82975
181,Netflix;OCS;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;aventure/action,4,NA,NA,5,2,NA,NA,5,2,NA,NA,NA,NA,NA,2,NA,4,3,6,4,4,4,4,4,4,4,4,4,NA,5,NA,2,2,NA,NA,Hombre,18,310.2324064
182,Netflix;OCS,Entre 3 y 5 horas,Aventura/Accion;Drama;Romantica,6,NA,NA,NA,NA,5,NA,NA,5,5,NA,NA,5,NA,NA,NA,6,6,6,3,6,1,1,6,3,6,4,5,NA,5,NA,NA,NA,NA,5,Mujer,18,224.3524225
183,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+;autre (précisez),Entre 1 y 2 horas,Ciencia Ficcion;Aventura/Accion;Documental,6,NA,NA,5,NA,1,NA,NA,NA,5,5,NA,NA,NA,NA,NA,3,5,6,4,6,6,6,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,19,656.4968578
184,Netflix;OCS,Entre 2 y 3 horas,TV réalité;aventure/action;thriller,5,NA,NA,NA,1,NA,NA,5,NA,NA,NA,5,NA,5,NA,NA,5,6,6,4,6,6,6,4,6,1,6,5,5,2,5,NA,5,NA,NA,Hombre,18,259.12468
185,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,7 o m?s horas,Science Fiction;aventure/action;animé,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,5,4,4,5,2,4,4,4,3,3,3,5,6,5,NA,NA,NA,NA,NA,NA,Hombre,20,271.4909696
186,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Terror,3,5,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,NA,Mujer,25,434.008932
187,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+;autre (précisez),Entre 2 y 3 horas,Science Fiction;aventure/action;animé,4,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,4,5,6,2,6,4,6,6,NA,NA,NA,5,5,NA,NA,Hombre,18,779.797198
188,Netflix;OCS;Canal+ série et/ou film,Entre 1 y 2 horas,humour/comédie;jeunesse et famille;romantique,6,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,5,5,5,3,3,3,1,5,1,4,3,4,NA,NA,NA,1,NA,NA,NA,Mujer,18,305.8367684
189,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,humour/comédie;jeunesse et famille;romantique,6,5,5,5,2,5,5,5,5,5,5,5,5,5,5,NA,4,6,5,4,4,4,1,4,4,2,2,2,NA,5,5,5,5,5,5,Mujer,18,227.2409647
190,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,humour/comédie;thriller;biopic (biographie),4,5,NA,5,2,5,5,5,5,5,NA,NA,5,5,5,5,5,5,5,3,3,4,5,5,3,4,4,4,5,NA,NA,5,5,5,NA,Hombre,19,1041.5181303
191,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 2 y 3 horas,humour/comédie,6,NA,NA,5,NA,5,NA,NA,NA,5,5,5,NA,5,5,5,3,3,5,4,3,3,6,6,4,3,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,792.8531777
192,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Terror;Drama;Thriller,5,NA,5,NA,NA,5,5,NA,5,5,5,NA,5,NA,5,5,5,6,6,4,4,4,3,4,1,4,6,3,5,NA,NA,NA,NA,5,NA,Mujer,18,197.80218
193,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Aventura/Accion,3,5,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,4,5,6,6,3,2,1,6,1,4,3,3,NA,5,NA,NA,NA,NA,NA,Hombre,20,331.3020648
194,Netflix;OCS;Canal+ série et/ou film,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Documental,4,NA,5,NA,NA,5,NA,NA,2,NA,NA,5,NA,5,NA,5,4,4,4,4,2,3,6,3,6,3,6,6,NA,NA,5,2,2,NA,5,Hombre,18,525.816838
195,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie,1,1,1,NA,1,NA,NA,NA,NA,NA,2,NA,5,NA,2,2,2,3,3,2,2,3,5,2,2,3,5,2,NA,2,5,2,NA,2,2,Mujer,18,466.1842331
196,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Aventura/Accion;Documental;Drama,4,NA,NA,NA,1,5,5,NA,NA,5,5,NA,NA,NA,NA,NA,3,4,6,1,1,6,6,6,6,6,6,6,NA,NA,NA,5,NA,NA,NA,Hombre,18,476.000817
197,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;aventure/action;romantique,4,NA,NA,5,NA,5,5,NA,NA,NA,NA,5,2,5,5,NA,4,4,2,5,4,3,2,4,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,Mujer,19,360.756392
198,Netflix,Entre 1 y 2 horas,Documental;Drama;Biopic,3,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,245.956295
199,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Science Fiction;aventure/action;animé,4,NA,NA,NA,2,5,5,NA,5,NA,5,NA,5,NA,5,5,4,5,5,3,4,5,5,6,3,4,6,6,NA,NA,NA,1,NA,5,5,Mujer,18,324.2393888
200,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Science Fiction;documentaire;animé,5,NA,NA,NA,2,NA,5,2,5,NA,NA,NA,5,5,NA,5,3,5,5,5,5,4,3,3,3,2,4,3,5,5,5,NA,NA,NA,5,Hombre,20,371.2054796
201,Netflix;Amazone prime vidéo,Entre 1 y 2 horas,Ciencia Ficcion;Aventura/Accion;Romantica,6,NA,NA,5,2,NA,NA,5,5,NA,5,5,NA,NA,5,NA,4,6,6,3,4,3,5,4,3,2,4,3,NA,5,5,2,2,NA,5,Mujer,19,478.4102799
202,Netflix;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,Aventura/Accion;Historica;Thriller,4,NA,NA,5,NA,NA,5,NA,NA,5,5,5,NA,5,NA,5,5,5,5,4,3,3,3,5,3,3,3,5,NA,1,NA,1,2,NA,5,Mujer,18,311.2313084
203,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,Aventura/Accion;Drama;Thriller,3,NA,NA,NA,1,5,NA,5,NA,NA,NA,NA,5,5,NA,NA,3,4,4,3,3,2,2,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,Mujer,19,386.4328811
204,Netflix;Canal+ série et/ou film;Apple TV+;disney+,Entre 2 y 3 horas,TV réalité;horreur;aventure/action,6,NA,NA,NA,NA,5,NA,5,NA,NA,5,NA,2,5,NA,NA,5,5,5,5,5,4,3,4,4,3,2,4,NA,NA,NA,5,NA,NA,NA,Hombre,18,181.4551774
205,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,humour/comédie;aventure/action;documentaire,4,NA,5,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,4,6,6,4,6,4,6,4,3,NA,NA,NA,5,NA,NA,NA,Hombre,18,368.817142
206,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Aventura/Accion;Drama;Thriller,6,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,6,6,6,6,5,4,6,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,260.7727992
207,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;animé,6,5,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,5,4,6,6,6,6,1,6,6,1,6,6,1,NA,5,5,1,NA,NA,NA,Hombre,19,797.7785741
208,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,5,4,4,4,NA,NA,5,2,2,5,5,Hombre,19,307.1119419
209,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;autre (précisez),Entre 3 y 5 horas,documentaire;animé;biopic (biographie),3,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,5,1,3,1,2,6,6,2,6,6,NA,5,NA,NA,NA,5,NA,Hombre,19,817.5072915
210,Netflix,Entre 1 y 2 horas,humour/comédie;stand-up;animé,5,NA,NA,5,2,5,NA,5,NA,5,NA,5,5,NA,5,NA,3,3,4,4,3,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,5,Mujer,19,341.5561471
211,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,humour/comédie;aventure/action;romantique,4,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,4,5,3,3,5,2,5,1,5,1,3,NA,NA,NA,2,NA,NA,NA,Mujer,17,516.962336
212,Netflix;Amazone prime vidéo,Entre 30 minutos y 1 hora,Aventura/Accion,3,5,NA,NA,1,2,2,NA,5,NA,5,NA,NA,NA,2,2,3,2,5,1,3,3,5,6,1,2,1,2,NA,NA,NA,2,5,NA,NA,Hombre,18,497.3947211
213,Netflix,Entre 2 y 3 horas,Ciencia Ficcion;Terror;Aventura/Accion,4,NA,NA,5,NA,5,5,5,5,5,5,5,NA,5,5,NA,5,5,5,5,5,5,2,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,Hombre,18,318.1555524
214,Netflix;Amazone prime vidéo,Entre 2 y 3 horas,humour/comédie,5,5,5,NA,2,NA,NA,NA,5,NA,NA,5,NA,NA,NA,5,4,5,4,6,1,6,6,4,5,5,5,6,5,5,5,5,NA,5,5,Mujer,23,237.1143133
215,Netflix,Entre 2 y 3 horas,TV réalité;horreur;documentaire,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,6,6,6,6,3,4,6,4,NA,NA,NA,5,5,NA,NA,Mujer,18,201.7761326
216,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Ciencia Ficcion;Aventura/Accion;Drama,6,NA,NA,NA,5,2,5,NA,NA,NA,5,NA,NA,NA,NA,NA,4,5,5,3,5,2,4,3,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,Mujer,22,549.0305233
217,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 3 y 5 horas,humour/comédie;aventure/action;thriller,6,5,NA,NA,1,NA,2,5,2,5,5,5,5,5,NA,2,3,4,5,1,3,2,4,2,6,4,2,5,NA,5,NA,NA,NA,5,NA,Hombre,18,338.18625050000003
218,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,5,NA,NA,NA,NA,2,NA,5,NA,5,5,NA,NA,5,NA,NA,5,6,6,1,2,5,4,3,4,4,4,6,NA,NA,NA,NA,NA,NA,2,Mujer,20,594.9819811
219,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Science Fiction;TV réalité;aventure/action,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,4,6,6,6,6,6,NA,NA,NA,NA,NA,5,NA,Hombre,18,345.3771723
220,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+;autre (précisez),Entre 2 y 3 horas,Science Fiction;humour/comédie;romantique,2,1,1,5,1,1,NA,1,1,1,1,1,1,NA,NA,1,4,4,4,2,6,1,1,2,6,1,6,6,NA,NA,5,NA,NA,1,5,Mujer,18,418.1811968
221,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Terror;Documental;Drama,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,5,4,6,4,6,6,6,4,6,6,5,5,5,NA,NA,NA,NA,Mujer,19,422.0762101
222,Netflix,Entre 2 y 3 horas,Ciencia Ficcion;Terror;Thriller,6,5,2,NA,NA,NA,NA,5,NA,NA,NA,5,5,5,NA,NA,4,2,3,1,4,5,4,4,5,5,5,3,2,NA,NA,NA,2,NA,NA,Hombre,21,79.5001683
223,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Ciencia Ficcion;Terror;Thriller,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,2,NA,NA,NA,6,6,6,5,5,5,3,4,2,5,4,6,NA,NA,NA,5,NA,NA,NA,Mujer,18,373.6353618
224,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie,3,NA,NA,NA,1,NA,5,5,5,5,5,NA,2,5,2,5,4,3,3,3,3,3,3,3,3,3,3,4,NA,2,NA,2,5,2,2,Hombre,20,193.7750937
225,Netflix,Entre 1 y 2 horas,Aventura/Accion;Thriller,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,4,4,5,4,5,6,3,6,3,6,6,NA,NA,5,NA,5,NA,NA,Mujer,23,566.2182578
226,Netflix,Entre 2 y 3 horas,Ciencia Ficcion;Terror,4,NA,2,NA,NA,5,2,NA,NA,5,NA,2,5,5,5,5,5,4,4,1,3,3,3,2,5,1,5,5,5,NA,NA,5,5,NA,5,Mujer,24,217.8577285
227,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,Ciencia Ficcion,2,NA,1,2,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,4,4,3,1,2,2,3,1,5,4,4,NA,NA,NA,1,1,2,NA,Hombre,20,340.2097539
228,Netflix;OCS;Canal+ série et/ou film;disney+,Entre 2 y 3 horas,TV réalité;aventure/action;romantique,6,NA,NA,NA,5,NA,NA,NA,NA,5,5,NA,NA,5,2,5,4,5,4,5,6,6,5,4,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,Mujer,18,229.4190763
229,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,6,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,5,NA,5,3,5,5,1,1,3,6,1,6,1,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,24,1575.708652
230,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Ciencia Ficcion;Terror;Romantica,5,NA,NA,5,NA,5,NA,NA,2,5,NA,5,5,NA,5,5,4,4,5,1,2,3,5,3,2,2,5,4,NA,5,NA,5,NA,NA,5,Mujer,23,690.1404815
231,Netflix;OCS;Canal+ série et/ou film,Entre 2 y 3 horas,Ciencia Ficcion;Aventura/Accion;Drama,6,NA,NA,2,2,5,5,NA,NA,NA,5,5,NA,NA,NA,NA,4,4,4,6,6,4,3,6,2,6,4,6,NA,NA,NA,NA,NA,NA,NA,Hombre,19,280.498385
232,Netflix;OCS,Entre 3 y 5 horas,Ciencia Ficcion;Aventura/Accion;Documental,4,NA,5,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,5,5,5,6,6,1,6,4,3,3,3,3,4,4,NA,5,NA,5,NA,NA,NA,Hombre,19,426.1363865
233,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,stand-up;animé;romantique,3,NA,1,NA,1,2,NA,NA,1,1,NA,NA,NA,5,2,NA,2,3,4,6,1,1,1,3,4,3,6,6,NA,2,2,1,1,1,NA,Mujer,20,305.89002
234,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,humour/comédie;documentaire;romantique,5,NA,NA,5,NA,5,NA,NA,NA,NA,5,5,NA,NA,5,5,4,5,5,4,4,4,3,4,5,4,4,4,5,NA,5,NA,NA,NA,5,Mujer,24,505.0258778
235,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;humour/comédie;romantique,5,NA,NA,NA,1,5,NA,NA,NA,NA,5,NA,2,NA,NA,5,4,5,6,1,3,6,6,4,2,3,6,6,NA,5,NA,NA,5,NA,NA,Mujer,18,319.2709775
236,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Terror;Drama;Romantica,5,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,6,6,6,4,3,3,4,6,2,4,6,4,NA,NA,NA,NA,NA,NA,NA,Mujer,18,253.9254901
237,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;humour/comédie;aventure/action,6,NA,NA,NA,1,NA,NA,2,2,1,5,5,5,5,5,5,6,6,6,2,5,3,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,Mujer,18,210.9864962
